module name	repository
chokidar@2.0.4	https://github.com/paulmillr/chokidar
class-utils@0.3.6	https://github.com/jonschlinkert/class-utils
co@4.6.0	https://github.com/tj/co
code-point-at@1.1.0	https://github.com/sindresorhus/code-point-at
collection-visit@1.0.0	https://github.com/jonschlinkert/collection-visit
color-convert@1.9.3	https://github.com/Qix-/color-convert
color-name@1.1.3	https://github.com/dfcreative/color-name
combined-stream@1.0.7	https://github.com/felixge/node-combined-stream
commander@2.17.1	https://github.com/tj/commander.js
component-emitter@1.2.1	https://github.com/component/emitter
concat-map@0.0.1	https://github.com/substack/node-concat-map
concat-stream@1.6.2	https://github.com/maxogden/concat-stream
content-type@1.0.4	https://github.com/jshttp/content-type
convert-source-map@1.6.0	https://github.com/thlorenz/convert-source-map
cookie@0.3.1	https://github.com/jshttp/cookie
cookie-signature@1.0.6	https://github.com/visionmedia/node-cookie-signature
copy-descriptor@0.1.1	https://github.com/jonschlinkert/copy-descriptor
core-util-is@1.0.2	https://github.com/isaacs/core-util-is
dashdash@1.14.1	https://github.com/trentm/node-dashdash
debug@2.6.9	https://github.com/visionmedia/debug
debug@3.1.0	https://github.com/visionmedia/debug
debug@4.1.1	https://github.com/visionmedia/debug
decamelize@1.2.0	https://github.com/sindresorhus/decamelize
decode-uri-component@0.2.0	https://github.com/SamVerschueren/decode-uri-component
deep-is@0.1.3	https://github.com/thlorenz/deep-is
define-properties@1.1.3	https://github.com/ljharb/define-properties
define-property@0.2.5	https://github.com/jonschlinkert/define-property
define-property@1.0.0	https://github.com/jonschlinkert/define-property
define-property@2.0.2	https://github.com/jonschlinkert/define-property
delayed-stream@1.0.0	https://github.com/felixge/node-delayed-stream
depd@1.1.2	https://github.com/dougwilson/nodejs-depd
destroy@1.0.4	https://github.com/stream-utils/destroy
detect-indent@4.0.0	https://github.com/sindresorhus/detect-indent
ecc-jsbn@0.1.2	https://github.com/quartzjer/ecc-jsbn
ee-first@1.1.1	https://github.com/jonathanong/ee-first
emojis-list@2.1.0	https://github.com/kikobeats/emojis-list
encodeurl@1.0.2	https://github.com/pillarjs/encodeurl
engine.io@3.3.2	https://github.com/socketio/engine.io
engine.io-client@3.3.2	https://github.com/socketio/engine.io-client
engine.io-parser@2.1.3	https://github.com/socketio/engine.io-parser
enhanced-resolve@4.1.0	https://github.com/webpack/enhanced-resolve
errno@0.1.7	https://github.com/rvagg/node-errno
error-ex@1.3.2	https://github.com/qix-/node-error-ex
es6-iterator@2.0.3	https://github.com/medikoo/es6-iterator
es6-symbol@3.1.1	https://github.com/medikoo/es6-symbol
es-abstract@1.13.0	https://github.com/ljharb/es-abstract
escape-html@1.0.3	https://github.com/component/escape-html
escape-string-regexp@1.0.5	https://github.com/sindresorhus/escape-string-regexp
es-to-primitive@1.2.0	https://github.com/ljharb/es-to-primitive
etag@1.8.1	https://github.com/jshttp/etag
event-emitter@0.3.5	https://github.com/medikoo/event-emitter
eventemitter2@4.1.2	https://github.com/hij1nx/EventEmitter2
exit@0.1.2	https://github.com/cowboy/node-exit
expand-brackets@2.1.4	https://github.com/jonschlinkert/expand-brackets
extend@3.0.2	https://github.com/justmoon/node-extend
extend-shallow@2.0.1	https://github.com/jonschlinkert/extend-shallow
extend-shallow@3.0.2	https://github.com/jonschlinkert/extend-shallow
extglob@2.0.4	https://github.com/micromatch/extglob
extsprintf@1.3.0	https://github.com/davepacheco/node-extsprintf
fast-deep-equal@2.0.1	https://github.com/epoberezkin/fast-deep-equal
fast-json-stable-stringify@2.0.0	https://github.com/epoberezkin/fast-json-stable-stringify
fast-levenshtein@2.0.6	https://github.com/hiddentao/fast-levenshtein
figures@2.0.0	https://github.com/sindresorhus/figures
fileset@2.0.3	https://github.com/mklabs/node-fileset
fill-range@4.0.0	https://github.com/jonschlinkert/fill-range
for-in@1.0.2	https://github.com/jonschlinkert/for-in
form-data@2.3.3	https://github.com/form-data/form-data
forwarded@0.1.2	https://github.com/jshttp/forwarded
fragment-cache@0.2.1	https://github.com/jonschlinkert/fragment-cache
fresh@0.5.2	https://github.com/jshttp/fresh
fs-extra@7.0.1	https://github.com/jprichardson/node-fs-extra
function-bind@1.1.1	https://github.com/Raynos/function-bind
getpass@0.1.7	https://github.com/arekinath/node-getpass
get-value@2.0.6	https://github.com/jonschlinkert/get-value
globals@9.18.0	https://github.com/sindresorhus/globals
har-validator@5.1.3	https://github.com/ahmadnassri/node-har-validator
has@1.0.3	https://github.com/tarruda/has
has-ansi@2.0.0	https://github.com/sindresorhus/has-ansi
has-binary2@1.0.3	(‹ó”’)
has-cors@1.1.0	https://github.com/component/has-cors
has-flag@3.0.0	https://github.com/sindresorhus/has-flag
has-symbols@1.0.0	https://github.com/ljharb/has-symbols
has-value@0.3.1	https://github.com/jonschlinkert/has-value
has-value@1.0.0	https://github.com/jonschlinkert/has-value
has-values@0.1.4	https://github.com/jonschlinkert/has-values
has-values@1.0.0	https://github.com/jonschlinkert/has-values
http-errors@1.6.3	https://github.com/jshttp/http-errors
http-signature@1.2.0	https://github.com/joyent/node-http-signature
iconv-lite@0.4.23	https://github.com/ashtuchkin/iconv-lite
iconv-lite@0.4.24	https://github.com/ashtuchkin/iconv-lite
imurmurhash@0.1.4	https://github.com/jensyt/imurmurhash-js
invariant@2.2.4	https://github.com/zertosh/invariant
is-accessor-descriptor@0.1.6	https://github.com/jonschlinkert/is-accessor-descriptor
is-accessor-descriptor@1.0.0	https://github.com/jonschlinkert/is-accessor-descriptor
isarray@0.0.1	https://github.com/juliangruber/isarray
isarray@1.0.0	https://github.com/juliangruber/isarray
isarray@2.0.1	https://github.com/juliangruber/isarray
is-arrayish@0.2.1	https://github.com/qix-/node-is-arrayish
is-binary-path@1.0.1	https://github.com/sindresorhus/is-binary-path
is-buffer@1.1.6	https://github.com/feross/is-buffer
is-callable@1.1.4	https://github.com/ljharb/is-callable
is-data-descriptor@0.1.4	https://github.com/jonschlinkert/is-data-descriptor
is-data-descriptor@1.0.0	https://github.com/jonschlinkert/is-data-descriptor
is-date-object@1.0.1	https://github.com/ljharb/is-date-object
is-descriptor@0.1.6	https://github.com/jonschlinkert/is-descriptor
is-descriptor@1.0.2	https://github.com/jonschlinkert/is-descriptor
is-extendable@0.1.1	https://github.com/jonschlinkert/is-extendable
is-extendable@1.0.1	https://github.com/jonschlinkert/is-extendable
is-extglob@2.1.1	https://github.com/jonschlinkert/is-extglob
